text,keywords,k_count
на с господдержкой / на sme. Срочно пришли отчёт.,SME | С господдержкой,2
Напомни: что видно по в corporate?,Corporate,1
Проверь сколько операций + Крооткие + про вклады + до востребования + про плавающая ставка + в SME и отправь.,SME | Вклады | До востребования | Плавающая ставка | Короткие | Количество операций,6
Собери мне на плавающая ставка + по Вклады + на краткосрочные + SME + в количество операций и кинь.,SME | Вклады | Краткосрочные | Плавающая ставка | Количество операций,5
По ПО СЧЕТАМ + в sme + кол-во операций + Переовды + для переводы физическим лицам + про межбанковские сделай выгрузку срочно!,SME | Переводы | Переводы физическим лицам | Межбанковские | По счетам | Количество операций,6
Нужно быстро посмотреть на кредиты + Corporate — что по цифрам?,Corporate | Кредиты,2
Напомни: что видно по Coprorate?,Corporate,1
Можно отчёт по в SME + про кредиты + про потребкредиты + по количество операций + для офлайн + Рефинансриование прямо сейчас?,SME | Кредиты | Потребкредиты | Офлайн | Рефинансирование | Количество операций,6
"оДк кину вечером, не забудь.",,0
"CORPORATE нужны сегодня, ок?",Corporate,1
"А что у нас по в с господдержкой, в SME, КРЕДИТЫ, для сумма, млн ₽?","SME | Кредиты | С господдержкой | Сумма, млн ₽",4
"Запрос на цифры: по сумма, млн ₽.","Сумма, млн ₽",1
"Покажи, пж, в без господдержки; КРЕДИТЫ; количество операций; по первичка; на sme.",SME | Кредиты | Первичка | Без господдержки | Количество операций,5
"Покажи, пж, про ипотека — СУММА, МЛН ₽ — Croporate.","Corporate | Ипотека | Сумма, млн ₽",3
А что у нас по SME / по Количество операций / Фиксированная ставка / в до востребования?,SME | До востребования | Фиксированная ставка | Количество операций,4
Нужно быстро посмотреть в SME — что по цифрам?,SME,1
Запрос на цифры: по плавающая ставка — про краткосрочные.,Краткосрочные | Плавающая ставка,2
"про переводы + в количество операций нужны сегодня, ок?",Переводы | Количество операций,2
"на кредиты + ПОТРЕБКРЕДИТЫ нужны сегодня, ок?",Кредиты | Потребкредиты,2
"Как дела? ачйник кипит, всё норм.",,0
"в corporate — сколько по сумме — на переводы нужны сегодня, ок?","Corporate | Переводы | Сумма, млн ₽",3
Запрос на цифры: по Количество операций — по рефинансирование — Corporate — Офлайн — кредиты.,Corporate | Кредиты | Офлайн | Рефинансирование | Количество операций,5
"Погода так себе, дождь мросит.",,0
Проверь Corporate + для вклады + в Количество операций и отправь.,Corporate | Вклады | Количество операций,3
"Док кинув ечером, не забудь.",,0
"Срочно по про межбанковские, плиз.",Межбанковские,1
"Напомни: что видно по на рефинансирование / SME / КРЕДИТЫ / про офлайн / для сумма, млн ₽?","SME | Кредиты | Офлайн | Рефинансирование | Сумма, млн ₽",5
А что у нас по про corporate?,Corporate,1
Дай сводку: для до востребования / про фиксированная ставка / по короткие / КОЛИЧЕСТВО ОПЕРАЦИЙ / RETAIL / в Вклады.,Retail | Вклады | До востребования | Фиксированная ставка | Короткие | Количество операций,6
"Дай сводку: в Сумма, млн ₽; ПЕРЕВОДЫ ФИЗИЧЕСКИМ ЛИЦАМ; в corporate; ПЕРЕВОДЫ; в внутри компании; про по картам.","Corporate | Переводы | Переводы физическим лицам | Внутри компании | По картам | Сумма, млн ₽",6
"МЕЖФИЛИАЛЬНЫЕ, по переводы юридическим лицам нужны сегодня, ок?",Переводы юридическим лицам | Межфилиальные,2
"Можно отчёт по Длинне, SME, количество операций, в До востребования, по Вклады, Фиксированная ставка прямо сейчас?",SME | Вклады | До востребования | Фиксированная ставка | Длинные | Количество операций,6
Собери мне ВКЛАДЫ / ДЛИННЫЕ / CORPORATE и кинь.,Corporate | Вклады | Длинные,3
"Погода так себ, дождь моросит.",,0
"Retail + в переводы физическим лицам + переводы + внутри компании нужны сегодня, ок?",Retail | Переводы | Переводы физическим лицам | Внутри компании,4
"Дай сводку: для сумма, млн ₽; на кредиты; для рефинансирование.","Кредиты | Рефинансирование | Сумма, млн ₽",3
Нужно быстро посмотреть по переводы — что по цифрам?,Переводы,1
"дОк кИнУ вЕчером, не зАБудь.",,0
"Собери мне в Потребкредиты; про сумма, млн ₽ и кинь.","Потребкредиты | Сумма, млн ₽",2
"Эй, по по Corporate; ДО ВОСТРЕБОВАНИЯ; на количество операций; по Вклады где статистика?",Corporate | Вклады | До востребования | Количество операций,4
По Потребкредиты — по офлайн — Количество операций — по corporate сделай выгрузку срочно!,Corporate | Потребкредиты | Офлайн | Количество операций,4
"Дай сводку: в переводы юридическим лицам + в межбанковские + на sme + Обчыные + переводы + в Сумма, млн ₽.","SME | Переводы | Переводы юридическим лицам | Межбанковские | Обычные | Сумма, млн ₽",6
"Покажи, пж, по Retail; в Вклады; сумма, млн ₽.","Retail | Вклады | Сумма, млн ₽",3
кредиты. Срочно пришли отчёт.,Кредиты,1
"Покажи, пж, количество операций — в Вклады — по Retail — на до востребования.",Retail | Вклады | До востребования | Количество операций,4
"Покажи, пж, на потребкредиты.",Потребкредиты,1
Созвон перенесём н позже?,,0
"Эй, по в retail где статистика?",Retail,1
Дай сводку: про фиксированная ставка / SME / длинные / по Вклады / для до востребования / по количество операций.,SME | Вклады | До востребования | Фиксированная ставка | Длинные | Количество операций,6
Запрос на цифры: Retail; в С господдержкой; для ипотека; про кредиты; по Первичка.,Retail | Кредиты | Ипотека | Первичка | С господдержкой,5
Напомни: что видно по в corporate + по Вклады + по длинные + кол-во операций?,Corporate | Вклады | Длинные | Количество операций,4
"Дай сводку: про сумма, млн ₽, про кредиты.","Кредиты | Сумма, млн ₽",2
"Переводы; про межбанковские; по сумма, млн ₽; в SME нужны сегодня, ок?","SME | Переводы | Межбанковские | Сумма, млн ₽",4
"Как деал? чайник кипит, всё норм.",,0
Проверь фиксированная ставка + по количество операций + в Краткосрочные и отправь.,Краткосрочные | Фиксированная ставка | Количество операций,3
"Срочно по СУММА, МЛН ₽, SME, плиз.","SME | Сумма, млн ₽",2
Проверь сколько операций — про переводы юридическим лицам — на межфилиальные — по corporate и отправь.,Corporate | Переводы юридическим лицам | Межфилиальные | Количество операций,4
"Эй, по ПЕРЕВОДЫ где статистика?",Переводы,1
Проверь про corporate и отправь.,Corporate,1
"погОдА тАк СеБе, доЖДь моросИТ.",,0
"для онлайн / SME / Потребкрдиты / Количество операций нужны сегодня, ок?",SME | Потребкредиты | Онлайн | Количество операций,4
на переводы / межбанковские. Срочно пришли отчёт.,Переводы | Межбанковские,2
"Покажи, пж, для кредиты / для retail / про сумма, млн ₽.","Retail | Кредиты | Сумма, млн ₽",3
Собери мне ОНЛАЙН; про corporate; по сумме; в Кредиты и кинь.,"Corporate | Кредиты | Онлайн | Сумма, млн ₽",4
"Можно отчёт по на онлайн; на кредиты; в retail; в Сумма, млн ₽ прямо сейчас?","Retail | Кредиты | Онлайн | Сумма, млн ₽",4
"ОФЛАЙН / ПОТРЕБКРЕДИТЫ / КРЕДИТЫ / в Retail нужны сегодня, ок?",Retail | Кредиты | Потребкредиты | Офлайн,4
в Corporate / для межфилиальные. Срочно пришли отчёт.,Corporate | Межфилиальные,2
"Нужно быстро посмотреть по Кредиты, в Количество операций, по Вторичка, ИПОТЕКА, на sme — что по цифрам?",SME | Кредиты | Ипотека | Вторичка | Количество операций,5
СозвоН пЕрЕнЕСём на ПозжЕ?,,0
Напомни: что видно по на онлайн?,Онлайн,1
"Эй, по в corporate — сколько по сумме — на переводы юридическим лицам где статистика?","Corporate | Переводы юридическим лицам | Сумма, млн ₽",3
"Проверь кредиты; Ипотека; для retail; Сумма, млн ₽; про без господдержки; первичка и отправь.","Retail | Кредиты | Ипотека | Первичка | Без господдержки | Сумма, млн ₽",6
"Эй, по по Переводы юридическим лицам + в Переводы + в Межфилиальные + про количество операций + по sme где статистика?",SME | Переводы | Переводы юридическим лицам | Межфилиальные | Количество операций,5
количество операций — на переводы — retAil — в переводы физическим лицам — по По картам — для межбанковские. Срочно пришли отчёт.,Retail | Переводы | Переводы физическим лицам | Межбанковские | По картам | Количество операций,6
"Запрос на цифры: в кредиты — на corporate — на с господдержкой — для вторичка — в Ипотека — про сумма, млн ₽.","Corporate | Кредиты | Ипотека | Вторичка | С господдержкой | Сумма, млн ₽",6
По по вклады + по Плавающая ставка + для до востребования + КОЛИЧЕСТВО ОПЕРАЦИЙ сделай выгрузку срочно!,Вклады | До востребования | Плавающая ставка | Количество операций,4
Собери мне Вклады и кинь.,Вклады,1
Запрос на цифры: в кредиты — в На три года.,Кредиты | На три года,2
"Срочно по про sme + межбанковские + по переводы + в по картам + по Количество операций, плиз.",SME | Переводы | Межбанковские | По картам | Количество операций,5
А что у нас по на краткосрочные?,Краткосрочные,1
"Эй, по по кредиты — ПОТРЕБКРЕДИТЫ — Офлайн — для retail — по операциям где статистика?",Retail | Кредиты | Потребкредиты | Офлайн | Количество операций,5
По про sme сделай выгрузку срочно!,SME,1
По С господдержкой; ипОтекА сделай выгрузку срочно!,Ипотека | С господдержкой,2
Запрос на цифры: в Количество операций + по кредиты + на corporate + по без господдержки + на ипотека + про вторичка.,Corporate | Кредиты | Ипотека | Вторичка | Без господдержки | Количество операций,6
Запрос на цифры: ОБЫЧНЫЕ / в retail / Прееводы / МЕЖФИЛИАЛЬНЫЕ.,Retail | Переводы | Межфилиальные | Обычные,4
А что у нас по по Retail — в Переводы?,Retail | Переводы,2
"Количество операций; Иоптека нужны сегодня, ок?",Ипотека | Количество операций,2
"Запрос на цифры: в Сумма, млн ₽ / sme.","SME | Сумма, млн ₽",2
"Нужно быстро посмотреть по договоры, по кредиты, Агентские, на corporate — что по цифрам?",Corporate | Кредиты | Агентские | Договоры,4
Можно отчёт по про срочные — переводы — в межбанковские — переводы юридическим лицам прямо сейчас?,Переводы | Переводы юридическим лицам | Межбанковские | Срочные,4
кушл уже? перерыв сделай.,,0
"Покажи, пж, Краткосрочные — по плавающая ставка — по вклады — SME — сколько операций.",SME | Вклады | Краткосрочные | Плавающая ставка | Количество операций,5
"Покажи, пж, на по счетам; Переводы; для переводы физическим лицам; Межбанковские.",Переводы | Переводы физическим лицам | Межбанковские | По счетам,4
"в Количество операций / по краткосрочные / RETAIL / про короткие / в Вклады / в плавающая ставка нужны сегодня, ок?",Retail | Вклады | Краткосрочные | Плавающая ставка | Короткие | Количество операций,6
"А что у нас по на sme, по Сумма, млн ₽, по краткосрочные?","SME | Краткосрочные | Сумма, млн ₽",3
"Как дела? чйник кипит, всё норм.",,0
на межбанковские + количество операций + в Corporate + на переводы физическим лицам + на переводы. Срочно пришли отчёт.,Corporate | Переводы | Переводы физическим лицам | Межбанковские | Количество операций,5
"А что у нас по по кредиты / SME / в Вторичка / про сумма, млн ₽?","SME | Кредиты | Вторичка | Сумма, млн ₽",4
Напомни: что видно по по corporate + для фиксированная ставка + про количество операций + на вклады + по До востребования?,Corporate | Вклады | До востребования | Фиксированная ставка | Количество операций,5
"Проверь по Corporate + для с продлением + про на три года + на кредиты + сумма, млн ₽ и отправь.","Corporate | Кредиты | На три года | С продлением | Сумма, млн ₽",5
"Доставку забраил? окей, спасибо!",,0
По Плавающая ставка — для краткосрочные сделай выгрузку срочно!,Краткосрочные | Плавающая ставка,2
"Проверь на corporate, в Сумма, млн ₽, в Ипотека, БЕЗ ГОСПОДДЕРЖКИ, в Кредиты и отправь.","Corporate | Кредиты | Ипотека | Без господдержки | Сумма, млн ₽",5
"в Вклады — по операциям нужны сегодня, ок?",Вклады | Количество операций,2
Собери мне в плавающая ставка / retail / в количество операций / КОРОТКИЕ / вклады / на краткосрочные и кинь.,Retail | Вклады | Краткосрочные | Плавающая ставка | Короткие | Количество операций,6
кушал уже? перерыв сдлеай.,,0
"Покажи, пж, в сумма, млн ₽ + переводы + на межбанковские + по corporate + по Срочные.","Corporate | Переводы | Межбанковские | Срочные | Сумма, млн ₽",5
"Покажи, пж, сколько по сумме.","Сумма, млн ₽",1
по SME — по количество операций. Срочно пришли отчёт.,SME | Количество операций,2
"Нужно быстро посмотреть RETAIL — на вклады — в Сумма, млн ₽ — что по цифрам?","Retail | Вклады | Сумма, млн ₽",3
"Нужно быстро посмотреть sme / кредиты / про сумма, млн ₽ / Рефинансирование / офЛайн — что по цифрам?","SME | Кредиты | Офлайн | Рефинансирование | Сумма, млн ₽",5
"Срочно по RETAIL; ВКЛАДЫ; в Фиксированная ставка; ДЛИННЫЕ, плиз.",Retail | Вклады | Фиксированная ставка | Длинные,4
Уточни ВКЛАДЫ — по Длинные — RETAIL — по краткосрочные — по плавающая ставка и сверь.,Retail | Вклады | Краткосрочные | Плавающая ставка | Длинные,5
По на офлайн + Количество операций + про потребкредиты сделай выгрузку срочно!,Потребкредиты | Офлайн | Количество операций,3
Проверь по межбанковские — ПеревоДЫ юРИдичесКим лИцаМ и отправь.,Переводы юридическим лицам | Межбанковские,2
"Покажи, пж, retail / на ипотека.",Retail | Ипотека,2
А что у нас по ипотека + Вторикча?,Ипотека | Вторичка,2
по retail / по вклады / про краткосрочные / в количество операций / фиКсИровАННАЯ СтАвка / про короткие. Срочно пришли отчёт.,Retail | Вклады | Краткосрочные | Фиксированная ставка | Короткие | Количество операций,6
бронЬ на ЗАвтрА поДтвеРДишь?,,0
пОчеМу ИнТЕрнет лагАет ОпЯть?,,0
"Покажи, пж, про плавающая ставка — SME — про сумма, млн ₽ — на краткосрочные.","SME | Краткосрочные | Плавающая ставка | Сумма, млн ₽",4
"Погода так себе, дождь морсоит.",,0
А что у нас по по Фиксированная ставка — по sme — про краткосрочные?,SME | Краткосрочные | Фиксированная ставка,3
Кредтиы — Потребкредиты — для retail — Количество операций — в онлайн. Срочно пришли отчёт.,Retail | Кредиты | Потребкредиты | Онлайн | Количество операций,5
Уточни в Межфилиальные — CORPORATE — в обычные и сверь.,Corporate | Межфилиальные | Обычные,3
Запрос на цифры: на retail.,Retail,1
"Срочно по на ипотека — по Количество операций — Corporate — для кредиты — в Без господдержки — по Первичка, плиз.",Corporate | Кредиты | Ипотека | Первичка | Без господдержки | Количество операций,6
"Запрос на цифры: по Retail / про фиксированная ставка / по До востребования / по вклады / про сумма, млн ₽.","Retail | Вклады | До востребования | Фиксированная ставка | Сумма, млн ₽",5
ПО СЧЕТАМ + Внутри компании + в retail + про количество операций + про переводы физическим лицам + на переводы. Срочно пришли отчёт.,Retail | Переводы | Переводы физическим лицам | Внутри компании | По счетам | Количество операций,6
Нужно быстро посмотреть по сумме; для ипотека; про первичка; КРЕДИТЫ; в retail — что по цифрам?,"Retail | Кредиты | Ипотека | Первичка | Сумма, млн ₽",5
По Длинные; в до востребования; для вклады; по SME сделай выгрузку срочно!,SME | Вклады | До востребования | Длинные,4
Можно отчёт по КРАТКОСРОЧНЫЕ — CORPORATE прямо сейчас?,Corporate | Краткосрочные,2
на вклады. Срочно пришли отчёт.,Вклады,1
Напомни: что видно по в первичка / сколько операций / ИПОТЕКА?,Ипотека | Первичка | Количество операций,3
"Покажи, пж, про межбанковские.",Межбанковские,1
А что у нас по переводы юридическим лицам + в межфилиальные + на срочные?,Переводы юридическим лицам | Межфилиальные | Срочные,3
"Покажи, пж, про кредиты, БЕЗ ГОСПОДДЕРЖКИ, про первичка, в Ипотека.",Кредиты | Ипотека | Первичка | Без господдержки,4
Уточни на количество операций + в Retail + про переводы и сверь.,Retail | Переводы | Количество операций,3
"Срочно по количество операций, переводы, в corporate, плиз.",Corporate | Переводы | Количество операций,3
"Покажи, пж, на ипотека.",Ипотека,1
про переводы юридическим лицам. Срочно пришли отчёт.,Переводы юридическим лицам,1
Напомни: что видно по кол-во операций?,Количество операций,1
"Собери мне в рефинансирование, в кредиты, в Потребкредиты, по офлайн, retail, для сумма, млн ₽ и кинь.","Retail | Кредиты | Потребкредиты | Офлайн | Рефинансирование | Сумма, млн ₽",6
"Срочно по на плавающая ставка, Короткие, SME, в Вклады, краткосрочные, в Количество операций, плиз.",SME | Вклады | Краткосрочные | Плавающая ставка | Короткие | Количество операций,6
"Эй, по ипотека, ПЕРВИЧКА, corporate, СУММА, МЛН ₽, про кредиты, С ГОСПОДДЕРЖКОЙ где статистика?","Corporate | Кредиты | Ипотека | Первичка | С господдержкой | Сумма, млн ₽",6
Можно отчёт по по сумме + вклады + CORPORATE + длинные прямо сейчас?,"Corporate | Вклады | Длинные | Сумма, млн ₽",4
"Эй, по про количество операций где статистика?",Количество операций,1
"Док кину вечером, ен забудь.",,0
"Эй, по в corporate / без продления / по Количество операций / по агентские обязательства где статистика?",Corporate | Агентские обязательства | Без продления | Количество операций,4
"Напомни: что видно по сумма, млн ₽ / в межфилиальные / на переводы / в retail?","Retail | Переводы | Межфилиальные | Сумма, млн ₽",4
Нужно быстро посмотреть в На год; по с продлением; для кредиты; в Corporate; Количество операций — что по цифрам?,Corporate | Кредиты | На год | С продлением | Количество операций,5
Нужно быстро посмотреть ПЕРЕВОДЫ ФИЗИЧЕСКИМ ЛИЦАМ — что по цифрам?,Переводы физическим лицам,1
"Срочно по в Короткие + на вклады + ДО востреБовАния + retail + по операциям, плиз.",Retail | Вклады | До востребования | Короткие | Количество операций,5
"сколько по сумме, Потребкредиты, в Кредиты, по офлайн, в Рефинансирование. Срочно пришли отчёт.","Кредиты | Потребкредиты | Офлайн | Рефинансирование | Сумма, млн ₽",5
"Эй, по по сумме + для фиксированная ставка + corporate + вклады где статистика?","Corporate | Вклады | Фиксированная ставка | Сумма, млн ₽",4
"Эй, по по Corporate, Длинные, в Плавающая ставка, для краткосрочные где статистика?",Corporate | Краткосрочные | Плавающая ставка | Длинные,4
А что у нас по на sme?,SME,1
кушаЛ уЖе? ПеРЕрЫВ сДелаЙ.,,0
кушал Уже? ПерЕрыВ сДЕлАЙ.,,0
"Эй, по на без продления — Кредиты — про на три года — corporate — в Количество операций где статистика?",Corporate | Кредиты | На три года | Без продления | Количество операций,5
в retail; без господдержки. Срочно пришли отчёт.,Retail | Без господдержки,2
"Срочно по в sme — по краткосрочные — про количество операций — в плавающая ставка, плиз.",SME | Краткосрочные | Плавающая ставка | Количество операций,4
"Эй, по в Кредиты + про потребкредиты где статистика?",Кредиты | Потребкредиты,2
"Напомни: что видно по для количество операций, в Межбанковские, для по счетам, ПЕРЕВОДЫ ФИЗИЧЕСКИМ ЛИЦАМ, по retail, ПЕРЕВОДЫ?",Retail | Переводы | Переводы физическим лицам | Межбанковские | По счетам | Количество операций,6
А что у нас по на переводы — на переводы юридическим лицам — Межбнаковские — по операциям — SME?,SME | Переводы | Переводы юридическим лицам | Межбанковские | Количество операций,5
По по до востребования сделай выгрузку срочно!,До востребования,1
"Проверь Количество операций, по Corporate, Ипотека, Кердиты, по первичка и отправь.",Corporate | Кредиты | Ипотека | Первичка | Количество операций,5
Нужно быстро посмотреть в Новые — что по цифрам?,Новые,1
Проверь в Переводы; По картам; для sme; на переводы физическим лицам и отправь.,SME | Переводы | Переводы физическим лицам | По картам,4
БроНь нА зАвтра подтверДиШь?,,0
"Погода так себе, дждь моросит.",,0
по количество операций. Срочно пришли отчёт.,Количество операций,1
"Эй, по по по картам / в сумма, млн ₽ / по retail / по переводы / на переводы физическим лицам где статистика?","Retail | Переводы | Переводы физическим лицам | По картам | Сумма, млн ₽",5
"Срочно по КРЕДИТЫ; Агентские обязательства; Corporate; сколько операций; по На три года; Без продления, плиз.",Corporate | Кредиты | Агентские обязательства | На три года | Без продления | Количество операций,6
"Дай сводку: в Агентские обязательства, для сумма, млн ₽, на на три года, по кредиты.","Кредиты | Агентские обязательства | На три года | Сумма, млн ₽",4
"Запрос на цифры: по сумме, ПЕРЕВОДЫ ЮРИДИЧЕСКИМ ЛИЦАМ, corporate, ПЕреводы, в обычные, МЕЖФИЛИАЛЬНЫЕ.","Corporate | Переводы | Переводы юридическим лицам | Межфилиальные | Обычные | Сумма, млн ₽",6
Проверь по потребкредиты + SME и отправь.,SME | Потребкредиты,2
Нужно быстро посмотреть количество операций; в Кредиты; для потребкредиты; в рефинансирование; в retail; на офлайн — что по цифрам?,Retail | Кредиты | Потребкредиты | Офлайн | Рефинансирование | Количество операций,6
бронь на завтра подвтердишь?,,0
Запрос на цифры: в вторичка + по Ипотека + для кредиты.,Кредиты | Ипотека | Вторичка,3
Запрос на цифры: КОЛИЧЕСТВО ОПЕРАЦИЙ; по межфилиальные; на срочные; по Переводы; на переводы юридическим лицам; на sme.,SME | Переводы | Переводы юридическим лицам | Межфилиальные | Срочные | Количество операций,6
"А что у нас по сумма, млн ₽ — Новые — по потребкредиты — на кредиты — по corporate — про онлайн?","Corporate | Кредиты | Потребкредиты | Онлайн | Новые | Сумма, млн ₽",6
Собери мне retail / кредиты и кинь.,Retail | Кредиты,2
"Покажи, пж, длинные; по до востребования; Вклады; по Фиксированная ставка; SME; Количество операций.",SME | Вклады | До востребования | Фиксированная ставка | Длинные | Количество операций,6
А что у нас по по Вклады + на плавающая ставка + на sme?,SME | Вклады | Плавающая ставка,3
А что у нас по по Агентские — в Кредиты — КОЛИЧЕСТВО ОПЕРАЦИЙ — на corporate?,Corporate | Кредиты | Агентские | Количество операций,4
А что у нас по Corporate; ФИКСИРОВАННАЯ СТАВКА?,Corporate | Фиксированная ставка,2
"поГодА так сеБЕ, ДождЬ морОсит.",,0
Напомни: что видно по в вклады / sme?,SME | Вклады,2
"Срочно по для агентские обязательства, плиз.",Агентские обязательства,1
"Собери мне в количество операций, для короткие и кинь.",Короткие | Количество операций,2
"А что у нас по в Retail, Фиксированная ставка, по Длинные, по сумме, про вклады, в до востребования?","Retail | Вклады | До востребования | Фиксированная ставка | Длинные | Сумма, млн ₽",6
По ИПОТЕКА — Вторичка — в retail сделай выгрузку срочно!,Retail | Ипотека | Вторичка,3
"Срочно по по фиксированная ставка; на sme; для краткосрочные; про длинные; ВКЛАДЫ; про количество операций, плиз.",SME | Вклады | Краткосрочные | Фиксированная ставка | Длинные | Количество операций,6
"Как дела? чанйик кипит, всё норм.",,0
"Собери мне в вторичка; по Ипотека; по сумма, млн ₽; на sme; кредиты и кинь.","SME | Кредиты | Ипотека | Вторичка | Сумма, млн ₽",5
"Покажи, пж, короткие, SME, в Вклады, для краткосрочные, Плаващая ставка, по операциям.",SME | Вклады | Краткосрочные | Плавающая ставка | Короткие | Количество операций,6
гдЕ презеНтацИя вчЕрашняЯ лежИт?,,0
"Эй, по Retail; в сумма, млн ₽; для переводы юридическим лицам; в межфилиальные где статистика?","Retail | Переводы юридическим лицам | Межфилиальные | Сумма, млн ₽",4
Запрос на цифры: по Плавающая ставка — для краткосрочные — в Retail — Количество операций.,Retail | Краткосрочные | Плавающая ставка | Количество операций,4
"Покажи, пж, по Вторичка; в retail; Ипотека; по сумма, млн ₽.","Retail | Ипотека | Вторичка | Сумма, млн ₽",4
"Покажи, пж, про corporate / плавающая ставка.",Corporate | Плавающая ставка,2
"Можно отчёт по про сумма, млн ₽ / по Переводы физическим лицам / SME прямо сейчас?","SME | Переводы физическим лицам | Сумма, млн ₽",3
в Количество операций; по Межбанковские; по Переводы физическим лицам. Срочно пришли отчёт.,Переводы физическим лицам | Межбанковские | Количество операций,3
"Уточни переводы + в Переводы юридическим лицам + Сумма, млн ₽ и сверь.","Переводы | Переводы юридическим лицам | Сумма, млн ₽",3
Напомни: что видно по по Первичка?,Первичка,1
По по Потребкредиты + в corporate сделай выгрузку срочно!,Corporate | Потребкредиты,2
"кАк деЛа? чайниК кИпит, ВсЁ НОрМ.",,0
Проверь на срочные / в переводы юридическим лицам / межфилиальные и отправь.,Переводы юридическим лицам | Межфилиальные | Срочные,3
кушал уже? перерыв сделй.,,0
Собери мне на количество операций + Плавающая ставка + КОРОТКИЕ + краткосрочные + по retail и кинь.,Retail | Краткосрочные | Плавающая ставка | Короткие | Количество операций,5
"Срочно по про corporate — ПЕРЕВОДЫ — по срочные — сколько операций — на межфилиальные — по Переводы юридическим лицам, плиз.",Corporate | Переводы | Переводы юридическим лицам | Межфилиальные | Срочные | Количество операций,6
Проверь по Retail + МЕЖБАНКОВСКИЕ и отправь.,Retail | Межбанковские,2
почму интернет лагает опять?,,0
Можно отчёт по на количество операций; в вклады; про sme; в Плавающая ставка прямо сейчас?,SME | Вклады | Плавающая ставка | Количество операций,4
"Срочно по для retail / сколько операций, плиз.",Retail | Количество операций,2
Можно отчёт по Межбанковские / для corporate прямо сейчас?,Corporate | Межбанковские,2
Напомни: что видно по Межбанковские?,Межбанковские,1
"по Короткие / сумма, млн ₽ / по SME. Срочно пришли отчёт.","SME | Короткие | Сумма, млн ₽",3
По Крдиты сделай выгрузку срочно!,Кредиты,1
Можно отчёт по по вклады; про retail; ФИКСИРОВАННАЯ СТАВКА; для до востребования прямо сейчас?,Retail | Вклады | До востребования | Фиксированная ставка,4
Напомни: что видно по в Переводы; КОЛИЧЕСТВО ОПЕРАЦИЙ; в обычные; про межбанковские; на переводы юридическим лицам?,Переводы | Переводы юридическим лицам | Межбанковские | Обычные | Количество операций,5
Дай сводку: по Кредиты; про с господдержкой.,Кредиты | С господдержкой,2
Напомни: что видно по по Первичка / Без господдержки / SME / по Кредиты / по ипотека / количество операций?,SME | Кредиты | Ипотека | Первичка | Без господдержки | Количество операций,6
"А что у нас по итоговая сумма, в SME?","SME | Сумма, млн ₽",2
Проверь КОЛИЧЕСТВО ОПЕРАЦИЙ и отправь.,Количество операций,1
"переводы + Перевод ыюридическим лицам + в Retail + по Сумма, млн ₽ + про межбанковские. Срочно пришли отчёт.","Retail | Переводы | Переводы юридическим лицам | Межбанковские | Сумма, млн ₽",5
SME. Срочно пришли отчёт.,SME,1
"Уточни кредиты, по агентские и сверь.",Кредиты | Агентские,2
"Собери мне кол-во операций, для по картам, про переводы, в переводы физическим лицам, ВНУТРИ КОМПАНИИ и кинь.",Переводы | Переводы физическим лицам | Внутри компании | По картам | Количество операций,5
"Срочно по КРЕДИТЫ — по Ипотека — retail, плиз.",Retail | Кредиты | Ипотека,3
Дай сводку: Кредит; в Количество операций; про ипотека; про sme; для вторичка.,SME | Кредиты | Ипотека | Вторичка | Количество операций,5
"ПогОда ТаК Себе, дОждЬ морОсИТ.",,0
"Покажи, пж, на фиксированная ставка — в вклады — по Количество операций — длинные.",Вклады | Фиксированная ставка | Длинные | Количество операций,4
"Эй, по про вклады — SME — для длинные — в Плавающая ставка — в До востребования где статистика?",SME | Вклады | До востребования | Плавающая ставка | Длинные,5
бРонь на зАвтрА пОДтверДишь?,,0
"По по сумме, SME сделай выгрузку срочно!","SME | Сумма, млн ₽",2
Нужно быстро посмотреть на краткосрочные — что по цифрам?,Краткосрочные,1
Дай сводку: по счетам + в Межбанковские + SME + кол-во операций + в переводы.,SME | Переводы | Межбанковские | По счетам | Количество операций,5
